Group Name,Permission Codename,App Label,Model
sfd,add_groupupload,sfd,groupupload
sfd,change_groupupload,sfd,groupupload
sfd,delete_groupupload,sfd,groupupload
sfd,view_groupupload,sfd,groupupload
sfd,add_holiday,sfd,holiday
sfd,change_holiday,sfd,holiday
sfd,delete_holiday,sfd,holiday
sfd,view_holiday,sfd,holiday
sfd,add_municipality,sfd,municipality
sfd,change_municipality,sfd,municipality
sfd,delete_municipality,sfd,municipality
sfd,view_municipality,sfd,municipality
sfd,add_person,sfd,person
sfd,change_person,sfd,person
sfd,delete_person,sfd,person
sfd,view_person,sfd,person
sfd,add_postcode,sfd,postcode
sfd,change_postcode,sfd,postcode
sfd,delete_postcode,sfd,postcode
sfd,view_postcode,sfd,postcode
sfd,add_postcodeupload,sfd,postcodeupload
sfd,change_postcodeupload,sfd,postcodeupload
sfd,delete_postcodeupload,sfd,postcodeupload
sfd,view_postcodeupload,sfd,postcodeupload
sfd,add_userupload,sfd,userupload
sfd,change_userupload,sfd,userupload
sfd,delete_userupload,sfd,userupload
sfd,view_userupload,sfd,userupload
